Item ID,Description,G/L Account,Inventory Account,Quantity,Stocking Quantity,Unit Price,UPC / SKU,Weight,Cost of Sales Account,Cost of Sales Amount
STA-300-420,Postcard,Proceeds from Store Sales - 4401-606-00-1,,87,87,1.00,STA-300-420,0,,0.00
BOOK-900-905,Building of The Mother Church,Proceeds from Store Sales - 4401-606-00-1,,5,5,20.00,BOOK-900-905,0.9,,0.00
GIFT-900-105,Peace Ornament,Proceeds from Store Sales - 4401-606-00-1,,17,17,20.00,GIFT-900-105,0.1,,0.00
BDCA8D4-SpringBalance,Mary Baker Eddy's New England Tour Balance (Spring 2026),Deferred Revenue - 2300-000-00-1,,0,0,2200.00,BDCA8D4-SpringBalance,0,,0.00
BOOK-400-317,Violet Hay by Peter J. Hodgson,Proceeds from Store Sales - 4401-606-00-1,,421,421,12.00,BOOK-400-317,0.54,,0.00
HH-GIFT-100-003-CH,HH - Wallpaper Mugs - CHESTNUT HILL,Proceeds from Store Sales - 4401-606-00-1,,5,5,16.00,HH-GIFT-100-003-CH,0,,0.00
HH-GIFT-500-009CH,HH - Chestnut Hill Magnetic Notepads - CHESTNUT HILL,,,3,3,22.00,HH-GIFT-500-009CH,0.81,,0.00
HH-STA-200-501-CH,HH - Wallpaper Pen - CHESTNUT HILL,Proceeds from Store Sales - 4401-606-00-1,,20,20,8.00,HH-STA-200-501-CH,0.01,,0.00
HH-STA-300-420CH,HH - Postcard - Chestnut Hill,Proceeds from Store Sales - 4401-606-00-1,,37,37,1.00,HH-STA-300-420CH,0,,0.00
AUD-500-534,Paths of Pioneer Christian Scientists by Christopher L. Tyner - Audiobook Digital Download,Proceeds from Store Sales - 4401-606-00-1,,338,338,15.00,AUD-500-534,0,,0.00
PH-300-471,Daniel in the Lions' Den,Proceeds from Store Sales - 4401-606-00-1,,10,10,45.00,PH-300-471,0.44,,0.00
PH-300-473,Daniel's Answer to the King,Proceeds from Store Sales - 4401-606-00-1,,4,4,45.00,PH-300-473,0.05,,0.00
