,original subtotal,discount,net subtotal,tax,shipping,area,notes,tender,payment cash,payment card,payment gift card,payment store credit,payment check,payment other,payment total,gift card sold,gift card used
1,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
2,10.00,0.00,10.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,10.00,,
3,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
4,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
5,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
6,5.00,0.00,5.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,5.00,,
7,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
8,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
9,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
10,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
11,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
12,15.00,0.00,15.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,15.00,,
13,50.00,0.00,50.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,50.00,,
14,45.00,0.00,45.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,45.00,,
15,50.00,0.00,50.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,50.00,,
16,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
17,50.00,0.00,50.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,50.00,,
18,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
19,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
20,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
21,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
22,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
23,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
24,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
25,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
26,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
27,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
28,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
29,50.00,0.00,50.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,50.00,,
30,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
31,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
32,100.00,0.00,100.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,100.00,,
33,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
34,65.00,0.00,65.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,65.00,,
39,500.00,0.00,500.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,500.00,,
40,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
41,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
42,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
43,5.00,0.00,5.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,5.00,,
44,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
45,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
46,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
47,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
48,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
49,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
50,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
51,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
52,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
53,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
54,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
55,125.00,0.00,125.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,125.00,,
56,10.00,0.00,10.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,10.00,,
57,10.00,0.00,10.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,10.00,,
58,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
59,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
60,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
61,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
62,30.00,0.00,30.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,30.00,,
63,200.00,0.00,200.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,200.00,,
64,40.00,0.00,40.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,40.00,,
65,40.00,0.00,40.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,40.00,,
66,100.00,0.00,100.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,100.00,,
67,40.00,0.00,40.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,40.00,,
68,40.00,0.00,40.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,40.00,,
69,40.00,0.00,40.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,40.00,,
70,100.00,0.00,100.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,100.00,,
71,100.00,0.00,100.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,100.00,,
72,40.00,0.00,40.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,40.00,,
73,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
74,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
75,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
76,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
77,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
78,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
79,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
80,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
81,250.00,0.00,250.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,250.00,,
82,125.00,0.00,125.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,125.00,,
83,50.00,0.00,50.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,50.00,,
84,50.00,0.00,50.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,50.00,,
85,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
86,50.00,0.00,50.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,50.00,,
