Order Name,Order Date,Item ID,Description,Quantity,Unit Price,Discount Amount,Amount,Taxable,Tax Amount
178068,06/14/2026,46364004024517,Historic House Fund,1,1000.00,0.00,1000.00,No,0.00
178068,06/14/2026,46363976827077,Donor Cover Cost,1,29.20,0.00,29.20,No,0.00
180823,06/14/2026,46364037546181,Historic House Appeal,1,2000.00,0.00,2000.00,No,0.00
177902,06/14/2026,46363848179909,Membership,1,75.00,0.00,75.00,No,0.00
149234,06/14/2026,BOOK-400-103,A Precious Legacy: Christian Science Comes to Japan by Emi Abiko,1,9.00,0.00,9.00,No,0.57
149234,06/14/2026,BOOK-400-103,A Precious Legacy: Christian Science Comes to Japan by Emi Abiko,1,9.00,0.00,9.00,No,0.56
149234,06/14/2026,BOOK-400-103,A Precious Legacy: Christian Science Comes to Japan by Emi Abiko,1,9.00,0.00,9.00,No,0.56
149236,06/14/2026,BOOK-400-103,A Precious Legacy: Christian Science Comes to Japan by Emi Abiko,1,9.00,0.00,9.00,No,0.57
149236,06/14/2026,BOOK-400-103,A Precious Legacy: Christian Science Comes to Japan by Emi Abiko,1,9.00,0.00,9.00,No,0.56
149236,06/14/2026,BOOK-400-103,A Precious Legacy: Christian Science Comes to Japan by Emi Abiko,1,9.00,0.00,9.00,No,0.56
149235,06/14/2026,BOOK-400-103,A Precious Legacy: Christian Science Comes to Japan by Emi Abiko,1,9.00,0.00,9.00,No,0.57
149235,06/14/2026,BOOK-400-103,A Precious Legacy: Christian Science Comes to Japan by Emi Abiko,1,9.00,0.00,9.00,No,0.56
149235,06/14/2026,BOOK-400-103,A Precious Legacy: Christian Science Comes to Japan by Emi Abiko,1,9.00,0.00,9.00,No,0.56
149237,06/14/2026,BOOK-400-103,A Precious Legacy: Christian Science Comes to Japan by Emi Abiko,1,9.00,0.00,9.00,No,0.57
149237,06/14/2026,BOOK-400-103,A Precious Legacy: Christian Science Comes to Japan by Emi Abiko,1,9.00,0.00,9.00,No,0.56
149237,06/14/2026,BOOK-400-103,A Precious Legacy: Christian Science Comes to Japan by Emi Abiko,1,9.00,0.00,9.00,No,0.56
162575,06/14/2026,BOOK-400-000,Life at 400 Beacon Street by Heather Vogel Frederick,2,36.00,0.00,72.00,No,0.00
175579,06/14/2026,46364067528901,General Donation,1,2000.00,0.00,2000.00,No,0.00
172209,06/14/2026,46364040102085,Ongoing Fundraising,1,2000.00,0.00,2000.00,No,0.00
169374,06/14/2026,46363848179909,Membership,1,75.00,0.00,75.00,No,0.00
161615,06/14/2026,46364037546181,Historic House Appeal,1,1000.00,0.00,1000.00,No,0.00
158529,06/14/2026,46363848147141,Membership,1,40.00,0.00,40.00,No,0.00
153261,06/14/2026,46364037873861,Annual Appeal,1,1000.00,0.00,1000.00,No,0.00
150006,06/14/2026,46363848147141,Membership,1,35.00,0.00,35.00,No,0.00
148974,06/14/2026,46364037873861,Annual Appeal,1,1000.00,0.00,1000.00,No,0.00
1121,06/14/2026,46364037873861,Annual Appeal,1,2035.00,0.00,2035.00,No,0.00
1119,06/14/2026,46363848147141,Membership,1,35.00,0.00,35.00,No,0.00
1120,06/14/2026,46364040102085,Ongoing Fundraising,1,1000.00,0.00,1000.00,No,0.00
1118,06/14/2026,46364040102085,Ongoing Fundraising,1,2000.00,0.00,2000.00,No,0.00
1117,06/14/2026,46363848147141,Membership,1,35.00,0.00,35.00,No,0.00
1116,06/14/2026,46364040102085,Ongoing Fundraising,1,4000.00,0.00,4000.00,No,0.00
1115,06/14/2026,46364040102085,Ongoing Fundraising,1,965.00,0.00,965.00,No,0.00
1112,06/14/2026,46364083290309,General Op. Fund,1,435.00,0.00,435.00,No,0.00
1114,06/14/2026,46364037873861,Annual Appeal,1,2000.00,0.00,2000.00,No,0.00
1113,06/14/2026,46364037873861,Annual Appeal,1,2000.00,0.00,2000.00,No,0.00
1111,06/14/2026,46364083290309,General Op. Fund,1,65.00,0.00,65.00,No,0.00
1108,06/14/2026,46364082798789,General MM,1,10.00,0.00,10.00,No,0.00
1110,06/14/2026,46364083290309,General Op. Fund,1,35.00,0.00,35.00,No,0.00
1107,06/14/2026,46364082962629,Mem Renewal MM,1,20.00,0.00,20.00,No,0.00
1109,06/14/2026,46364082962629,Mem Renewal MM,1,35.00,0.00,35.00,No,0.00
1105,06/14/2026,46364083290309,General Op. Fund,1,25.00,0.00,25.00,No,0.00
1104,06/14/2026,46364083290309,General Op. Fund,1,25.00,0.00,25.00,No,0.00
1106,06/14/2026,46364082962629,Mem Renewal MM,1,35.00,0.00,35.00,No,0.00
1103,06/14/2026,46364082831557,Mem Renewal MM,1,50.00,0.00,50.00,No,0.00
1101,06/14/2026,46364082831557,Mem Renewal MM,1,50.00,0.00,50.00,No,0.00
1102,06/14/2026,46364084011205,Sales,1,25.00,0.00,25.00,No,0.00
1100,06/14/2026,46364084109509,Annual Appeal 98,1,50.00,0.00,50.00,No,0.00
1099,06/14/2026,46364082962629,Mem Renewal MM,1,25.00,0.00,25.00,No,0.00
1098,06/14/2026,46364082962629,Mem Renewal MM,1,20.00,0.00,20.00,No,0.00
1097,06/14/2026,46364082962629,Mem Renewal MM,1,20.00,0.00,20.00,No,0.00
1096,06/14/2026,46364082962629,Mem Renewal MM,1,20.00,0.00,20.00,No,0.00
1095,06/14/2026,46364083617989,Annual Giving MM,1,15.00,0.00,15.00,No,0.00
1093,06/14/2026,46364082962629,Mem Renewal MM,1,20.00,0.00,20.00,No,0.00
1094,06/14/2026,46364082798789,General MM,1,20.00,0.00,20.00,No,0.00
1092,06/14/2026,46364083617989,Annual Giving MM,1,25.00,0.00,25.00,No,0.00
1091,06/14/2026,46364082962629,Mem Renewal MM,1,25.00,0.00,25.00,No,0.00
1090,06/14/2026,46364082962629,Mem Renewal MM,1,20.00,0.00,20.00,No,0.00
1089,06/14/2026,46364082536645,Capital Campaign,1,100.00,0.00,100.00,No,0.00
1088,06/14/2026,46364082536645,Capital Campaign,1,100.00,0.00,100.00,No,0.00
1087,06/14/2026,46364082798789,General MM,1,15.00,0.00,15.00,No,0.00
