Item ID,Description,G/L Account,Inventory Account,Quantity,Stocking Quantity,Unit Price,UPC / SKU,Weight,Cost of Sales Account,Cost of Sales Amount
STA-300-420,Postcard,,,87,87,1.00,STA-300-420,0,,0.00
BOOK-900-905,Building of The Mother Church,,,5,5,20.00,BOOK-900-905,0.9,,0.00
GIFT-900-105,Peace Ornament,,,17,17,20.00,GIFT-900-105,0.1,,0.00
BDCA8D4-SpringBalance,Mary Baker Eddy's New England Tour Balance (Spring 2026),,,0,0,2200.00,BDCA8D4-SpringBalance,0,,0.00
BOOK-400-317,Violet Hay by Peter J. Hodgson,,,421,421,12.00,BOOK-400-317,0.54,,0.00
HH-GIFT-100-003-CH,HH - Wallpaper Mugs - CHESTNUT HILL,,,5,5,16.00,HH-GIFT-100-003-CH,0,,0.00
HH-GIFT-500-009CH,HH - Chestnut Hill Magnetic Notepads - CHESTNUT HILL,,,3,3,22.00,HH-GIFT-500-009CH,0.81,,0.00
HH-STA-200-501-CH,HH - Wallpaper Pen - CHESTNUT HILL,,,20,20,8.00,HH-STA-200-501-CH,0.01,,0.00
HH-STA-300-420CH,HH - Postcard - Chestnut Hill,,,37,37,1.00,HH-STA-300-420CH,0,,0.00
AUD-500-534,Paths of Pioneer Christian Scientists by Christopher L. Tyner - Audiobook Digital Download,,,338,338,15.00,AUD-500-534,0,,0.00
PH-300-471,Daniel in the Lions' Den,,,10,10,45.00,PH-300-471,0.44,,0.00
PH-300-473,Daniel's Answer to the King,,,4,4,45.00,PH-300-473,0.05,,0.00
PH-300-475,Christ in the Temple,,,3,3,45.00,PH-300-475,0.06,,0.00
BOOK-400-000,Life at 400 Beacon Street by Heather Vogel Frederick,,,534,534,40.00,BOOK-400-000,3.31,,0.00
JEWEL-100-090,Cross and Crown Pendants - Becky Thatcher,,,4,4,125.00,JEWEL-100-090,0.03,,0.00
JEWEL-100-992,Sterling Silver Box Chain Necklaces,,,5,5,38.44,JEWEL-100-992,0.03,,0.00
BOOK-500-002,Peter Henniker-Heaton: Man of Joy by Kim M. Schuette,,,29,29,40.00,BOOK-500-002,1.2,,0.00
STA-100-199,Watercolor Historic House Notecard Sets,,,67,67,30.00,STA-100-199,0.58,,0.00
GIFT-600-108,Musical Lamb,,,44,44,55.00,GIFT-600-108,0.7,,0.00
BOOK-500-006,"HH - A Home for Spike, by Heather Vogel Frederick - Amesbury",,,2,2,37.00,BOOK-500-006,1.07,,0.00
GIFT-700-968,All Natural Goat Milk Soap,,,9,9,8.00,GIFT-700-968,0.2,,0.00
GIFT-500-009,Chestnut Hill Magnetic Floral Notepads,,,13,13,12.00,GIFT-500-009,0.2,,0.00
GIFT-500-004,Chestnut Hill Mini Notebooks,,,34,34,12.00,GIFT-500-004,0.21,,0.00
GIFT-300-928,Kitchen Towels,,,23,23,18.00,GIFT-300-928,0.26,,0.00
JEWEL-100-801,Cross and Crown Brooch Pin,,,21,21,20.00,JEWEL-100-801,0,,0.00
GIFT-100-345A,Wrapped with Love Blanket,,,4,4,50.00,GIFT-100-345A,0.62,,0.00
GIFT-400-730,Little Children's Prayer by Mary Baker Eddy,,,22,22,27.00,GIFT-400-730,0.5,,0.00
GIFT-400-731,Big Children's Prayer by Mary Baker Eddy,,,40,40,27.00,GIFT-400-731,0.5,,0.00
JEWEL-100-100,Cross and Crown Seal Pendants - Nikki Paulk,,,9,9,115.00,JEWEL-100-100,0.04,,0.00
AUD-500-532,Life at 400 Beacon Street – Digital Audiobook Download,,,0,0,28.00,AUD-500-532,0,,0.00
GIFT-300-001,Women's Fleece Vest,,,5,5,46.00,GIFT-300-001,0.56,,0.00
HH-GIFT-900-105-CH,HH - Peace Ornament - CH,,,3,3,20.00,HH-GIFT-900-105-CH,0.1,,0.00
GIFT-500-001,Chestnut Hill Coasters,,,29,29,16.00,GIFT-500-001,0.23,,0.00
GIFT-100-007,Carpet Coasters,,,5,5,15.00,GIFT-100-007,0.26,,0.00
BOOK-400-318,Paths of Pioneer Christian Scientists by Christopher L. Tyner,,,745,745,24.00,BOOK-400-318,0.77,,0.00
BOOK-500-911,The Greatest Thing in the World by Henry Drummond,,,505,505,16.00,BOOK-500-911,0.35,,0.00
BOOK-400-645,My Life Model by Carol Norton,,,129,129,9.00,BOOK-400-645,0.06,,0.00
BOOK-400-103,A Precious Legacy: Christian Science Comes to Japan by Emi Abiko,,,1506,1506,10.00,BOOK-400-103,0.49,,0.00
AUD-500-530,Follow and Rejoice -- Mary Baker Eddy: The Chestnut Hill Years,,,974,974,25.00,AUD-500-530,0.21,,0.00
GIFT-400-109,Cross and Crown Stained-glass Suncatcher,,,36,36,60.00,GIFT-400-109,0.5,,0.00
BOOK-400-104,Christian Science In Germany by Frances Thurber Seal,,,570,570,9.00,BOOK-400-104,0.3,,0.00
BOOK-500-079,On the Way There by Katherine M. Yates,,,213,213,19.00,BOOK-500-079,0.14,,0.00
BOOK-900-904,Subject Guide to Bible Stories,,,3,3,27.00,BOOK-900-904,1.3,,0.00
BOOK-400-080,"Genesis of a Poem: Rosa Maud Turner's ""O Dreamer, Leave Thy Dreams for Joyful Waking"" by Peter J. Hodgson",,,652,652,9.00,BOOK-400-080,0.17,,0.00
HH-PH-300-100-CH,HH - Rathvon Framed Quote - CHESTNUT HILL,,,0,0,10.00,HH-PH-300-100-CH,0.7,,0.00
HH-JEWEL-100-800CH,HH - Cross and Crown Stained Glass Lapel Pin - Chestnut Hill,,,2,2,7.00,HH-JEWEL-100-800CH,0,,0.00
PH-300-027,Sunset at Pleasant View,,,77,77,4.00,PH-300-027,0.03,,0.00
STA-200-501,Wallpaper Pen,,,79,79,8.00,STA-200-501,0,,0.00
PH-300-108,Rathvon Framed Quote,,,17,17,10.00,PH-300-108,0.7,,0.00
STA-300-905,Artwork of 400 Beacon Street Notecards,,,9,9,30.00,STA-300-905,0.58,,0.00
BOOK-300-725,"Christian Science Military Ministry, 1917-2004 by Kim M. Schuette",,,18,18,47.00,BOOK-300-725,2.44,,0.00
JEWEL-100-341,Six-sided Cross and Crown Pendants,,,2,2,195.00,JEWEL-100-341,0.2,,0.00
JEWEL-100-089,14k Gold Box Chain Necklaces,,,1,1,530.00,JEWEL-100-089,0.2,,0.00
PH-100-702,God is Love Framed Cross-Stitch,,,0,0,250.00,PH-100-702,1.23,,0.00
