Date,Reference,Account,Amount,Memo
01/27/2026,SO-#81267,1061.000,130.10,Credit Card/PayPal - Order #81267
01/27/2026,SO-#81267,3000.000,-126.33,Sales - Order #81267
01/27/2026,SO-#81267,2110.000,-3.77,Sales Tax - Order #81267
01/27/2026,SO-#81264,1061.000,174.93,Credit Card/PayPal - Order #81264
01/27/2026,SO-#81264,3000.000,-233.00,Sales - Order #81264
01/27/2026,SO-#81264,3034.000,69.90,Discount - Order #81264
01/27/2026,SO-#81264,2110.000,-11.83,Sales Tax - Order #81264
01/27/2026,SO-#81263,1061.000,249.89,Credit Card/PayPal - Order #81263
01/27/2026,SO-#81263,3000.000,0.00,Sales - Order #81263
01/27/2026,SO-#81263,2110.000,-16.89,Sales Tax - Order #81263
01/27/2026,RF-#81263,3035.000,249.89,Refund - Order #81263
01/27/2026,RF-#81263,1061.000,-249.89,Refund Credit Card/PayPal - Order #81263
01/27/2026,SO-#81262,1061.000,355.82,Credit Card/PayPal - Order #81262
01/27/2026,SO-#81262,3000.000,-331.75,Sales - Order #81262
01/27/2026,SO-#81262,2110.000,-24.07,Sales Tax - Order #81262
01/27/2026,SO-#81255,1061.000,18.77,Credit Card/PayPal - Order #81255
01/27/2026,SO-#81255,3000.000,-25.00,Sales - Order #81255
01/27/2026,SO-#81255,3034.000,7.50,Discount - Order #81255
01/27/2026,SO-#81255,2110.000,-1.27,Sales Tax - Order #81255
01/27/2026,SO-#81254,1061.000,241.84,Credit Card/PayPal - Order #81254
01/27/2026,SO-#81254,3000.000,-225.45,Sales - Order #81254
01/27/2026,SO-#81254,2110.000,-16.39,Sales Tax - Order #81254
01/27/2026,SO-#81252,1061.000,27.83,Credit Card/PayPal - Order #81252
01/27/2026,SO-#81252,3000.000,-25.95,Sales - Order #81252
01/27/2026,SO-#81252,2110.000,-1.88,Sales Tax - Order #81252
01/27/2026,SO-#81250,1061.000,98.52,Credit Card/PayPal - Order #81250
01/27/2026,SO-#81250,3000.000,-91.85,Sales - Order #81250
01/27/2026,SO-#81250,2110.000,-6.67,Sales Tax - Order #81250
01/27/2026,SO-#81249,1061.000,95.15,Credit Card/PayPal - Order #81249
01/27/2026,SO-#81249,3000.000,-88.70,Sales - Order #81249
01/27/2026,SO-#81249,2110.000,-6.45,Sales Tax - Order #81249
01/27/2026,SO-#81248,1061.000,819.55,Credit Card/PayPal - Order #81248
01/27/2026,SO-#81248,3000.000,-899.00,Sales - Order #81248
01/27/2026,SO-#81248,3034.000,134.85,Discount - Order #81248
01/27/2026,SO-#81248,2110.000,-55.40,Sales Tax - Order #81248
01/27/2026,SO-#81246,1061.000,437.14,Credit Card/PayPal - Order #81246
01/27/2026,SO-#81246,3000.000,-407.55,Sales - Order #81246
01/27/2026,SO-#81246,2110.000,-29.59,Sales Tax - Order #81246
01/27/2026,SO-#81245,1061.000,74.83,Credit Card/PayPal - Order #81245
01/27/2026,SO-#81245,3000.000,-74.83,Sales - Order #81245
01/27/2026,SO-#81244,1051.000,18.18,Cash/Check - Order #81244
01/27/2026,SO-#81244,3000.000,-16.95,Sales - Order #81244
01/27/2026,SO-#81244,2110.000,-1.23,Sales Tax - Order #81244
01/27/2026,SO-#81242,1061.000,42.00,Credit Card/PayPal - Order #81242
01/27/2026,SO-#81242,3000.000,-39.15,Sales - Order #81242
01/27/2026,SO-#81242,2110.000,-2.85,Sales Tax - Order #81242
01/27/2026,SO-#81241,1061.000,404.92,Credit Card/PayPal - Order #81241
01/27/2026,SO-#81241,3000.000,-379.00,Sales - Order #81241
01/27/2026,SO-#81241,3034.000,1.45,Discount - Order #81241
01/27/2026,SO-#81241,2110.000,-27.37,Sales Tax - Order #81241
01/27/2026,SO-#81239,2320.000,50.00,Gift Cards/Gift Certificates - Order #81239
01/27/2026,SO-#81239,1051.000,45.60,Cash/Check - Order #81239
01/27/2026,SO-#81239,3000.000,-93.49,Sales - Order #81239
01/27/2026,SO-#81239,2110.000,-2.11,Sales Tax - Order #81239
01/27/2026,SO-#81238,1061.000,64.38,Credit Card/PayPal - Order #81238
01/27/2026,SO-#81238,3000.000,-66.65,Sales - Order #81238
01/27/2026,SO-#81238,3034.000,6.63,Discount - Order #81238
01/27/2026,SO-#81238,2110.000,-4.36,Sales Tax - Order #81238
01/27/2026,SO-#81237,1061.000,27.83,Credit Card/PayPal - Order #81237
01/27/2026,SO-#81237,3000.000,-37.00,Sales - Order #81237
01/27/2026,SO-#81237,3034.000,11.07,Discount - Order #81237
01/27/2026,SO-#81237,2110.000,-1.90,Sales Tax - Order #81237
01/27/2026,SO-#81236,1051.000,13.31,Cash/Check - Order #81236
01/27/2026,SO-#81236,3000.000,-12.40,Sales - Order #81236
01/27/2026,SO-#81236,2110.000,-0.91,Sales Tax - Order #81236
01/27/2026,SO-#81235,1061.000,25.45,Credit Card/PayPal - Order #81235
01/27/2026,SO-#81235,3000.000,-18.95,Sales - Order #81235
01/27/2026,SO-#81235,3040.000,-6.50,Shipping - Order #81235
01/27/2026,SO-#81234,2320.000,16.26,Gift Cards/Gift Certificates - Order #81234
01/27/2026,SO-#81234,3000.000,0.00,Sales - Order #81234
01/27/2026,SO-#81234,2110.000,-1.81,Sales Tax - Order #81234
01/27/2026,SO-#81234,3040.000,-6.50,Shipping - Order #81234
01/27/2026,SO-#81233,1061.000,149.34,Credit Card/PayPal - Order #81233
01/27/2026,SO-#81233,3000.000,-149.34,Sales - Order #81233
01/27/2026,SO-#81232,1061.000,7.05,Credit Card/PayPal - Order #81232
01/27/2026,SO-#81232,3000.000,-8.20,Sales - Order #81232
01/27/2026,SO-#81232,3034.000,1.64,Discount - Order #81232
01/27/2026,SO-#81232,2110.000,-0.49,Sales Tax - Order #81232
01/27/2026,SO-#81231,1061.000,26.90,Credit Card/PayPal - Order #81231
01/27/2026,SO-#81231,3000.000,-26.90,Sales - Order #81231
01/27/2026,SO-#81230,2320.000,213.43,Gift Cards/Gift Certificates - Order #81230
01/27/2026,SO-#81230,1061.000,107.25,Credit Card/PayPal - Order #81230
01/27/2026,SO-#81230,3000.000,-299.00,Sales - Order #81230
01/27/2026,SO-#81230,2110.000,-21.68,Sales Tax - Order #81230
01/27/2026,SO-#81223,1061.000,160.90,Credit Card/PayPal - Order #81223
01/27/2026,SO-#81223,3000.000,-140.90,Sales - Order #81223
01/27/2026,SO-#81223,3040.000,-20.00,Shipping - Order #81223
01/27/2026,SO-#81193,1061.000,95.45,Credit Card/PayPal - Order #81193
01/27/2026,SO-#81193,3000.000,-95.45,Sales - Order #81193
01/27/2026,SO-#81191,1061.000,35.90,Credit Card/PayPal - Order #81191
01/27/2026,SO-#81191,3000.000,-29.40,Sales - Order #81191
01/27/2026,SO-#81191,3040.000,-6.50,Shipping - Order #81191
01/27/2026,SO-#81187,1061.000,33.38,Credit Card/PayPal - Order #81187
01/27/2026,SO-#81187,3000.000,-24.95,Sales - Order #81187
01/27/2026,SO-#81187,2110.000,-1.93,Sales Tax - Order #81187
01/27/2026,SO-#81187,3040.000,-6.50,Shipping - Order #81187
01/27/2026,SO-#81186,1061.000,88.40,Credit Card/PayPal - Order #81186
01/27/2026,SO-#81186,3000.000,-104.00,Sales - Order #81186
01/27/2026,SO-#81186,3034.000,15.60,Discount - Order #81186
01/27/2026,SO-#81185,1061.000,51.98,Credit Card/PayPal - Order #81185
01/27/2026,SO-#81185,3000.000,-51.98,Sales - Order #81185
01/27/2026,SO-#81183,1061.000,183.11,Credit Card/PayPal - Order #81183
01/27/2026,SO-#81183,3000.000,-199.00,Sales - Order #81183
01/27/2026,SO-#81183,3034.000,29.85,Discount - Order #81183
01/27/2026,SO-#81183,2110.000,-13.96,Sales Tax - Order #81183
01/27/2026,SO-#81180,1061.000,40.62,Credit Card/PayPal - Order #81180
01/27/2026,SO-#81180,3000.000,-31.50,Sales - Order #81180
01/27/2026,SO-#81180,2110.000,-2.62,Sales Tax - Order #81180
01/27/2026,SO-#81180,3040.000,-6.50,Shipping - Order #81180
01/27/2026,SO-#81178,2320.000,87.25,Gift Cards/Gift Certificates - Order #81178
01/27/2026,SO-#81178,1061.000,15.05,Credit Card/PayPal - Order #81178
01/27/2026,SO-#81178,3000.000,-102.30,Sales - Order #81178
01/27/2026,SO-#81175,1061.000,535.29,Credit Card/PayPal - Order #81175
01/27/2026,SO-#81175,3000.000,-699.95,Sales - Order #81175
01/27/2026,SO-#81175,3034.000,209.98,Discount - Order #81175
01/27/2026,SO-#81175,2110.000,-45.32,Sales Tax - Order #81175
01/27/2026,SO-#81170,1061.000,39.15,Credit Card/PayPal - Order #81170
01/27/2026,SO-#81170,3000.000,-32.65,Sales - Order #81170
01/27/2026,SO-#81170,3040.000,-6.50,Shipping - Order #81170
01/27/2026,SO-#81169,1061.000,11.00,Credit Card/PayPal - Order #81169
01/27/2026,SO-#81169,3000.000,-4.50,Sales - Order #81169
01/27/2026,SO-#81169,3040.000,-6.50,Shipping - Order #81169
01/27/2026,SO-#81167,1061.000,39.20,Credit Card/PayPal - Order #81167
01/27/2026,SO-#81167,3000.000,-39.20,Sales - Order #81167
01/27/2026,SO-#81161,1061.000,262.71,Credit Card/PayPal - Order #81161
01/27/2026,SO-#81161,3000.000,-308.85,Sales - Order #81161
01/27/2026,SO-#81161,3034.000,46.14,Discount - Order #81161
01/27/2026,SO-#81156,1061.000,138.69,Credit Card/PayPal - Order #81156
01/27/2026,SO-#81156,3000.000,-151.40,Sales - Order #81156
01/27/2026,SO-#81156,3034.000,22.68,Discount - Order #81156
01/27/2026,SO-#81156,2110.000,-9.97,Sales Tax - Order #81156
01/27/2026,SO-#81151,1061.000,179.35,Credit Card/PayPal - Order #81151
01/27/2026,SO-#81151,3000.000,-179.35,Sales - Order #81151
01/27/2026,SO-#81150,1061.000,196.29,Credit Card/PayPal - Order #81150
01/27/2026,SO-#81150,3000.000,-207.40,Sales - Order #81150
01/27/2026,SO-#81150,3034.000,31.11,Discount - Order #81150
01/27/2026,SO-#81150,3040.000,-20.00,Shipping - Order #81150
01/27/2026,SO-#81144,1061.000,181.25,Credit Card/PayPal - Order #81144
01/27/2026,SO-#81144,3000.000,-169.00,Sales - Order #81144
01/27/2026,SO-#81144,2110.000,-12.25,Sales Tax - Order #81144
01/27/2026,SO-#81139,1061.000,113.45,Credit Card/PayPal - Order #81139
01/27/2026,SO-#81139,3000.000,-104.75,Sales - Order #81139
01/27/2026,SO-#81139,2110.000,-8.70,Sales Tax - Order #81139
01/27/2026,SO-#81138,1061.000,139.95,Credit Card/PayPal - Order #81138
01/27/2026,SO-#81138,3000.000,-139.95,Sales - Order #81138
01/27/2026,SO-#81135,1061.000,82.54,Credit Card/PayPal - Order #81135
01/27/2026,SO-#81135,3000.000,-97.10,Sales - Order #81135
01/27/2026,SO-#81135,3034.000,14.56,Discount - Order #81135
01/27/2026,SO-#81134,1061.000,28.48,Credit Card/PayPal - Order #81134
01/27/2026,SO-#81134,3000.000,-21.98,Sales - Order #81134
01/27/2026,SO-#81134,3040.000,-6.50,Shipping - Order #81134
01/27/2026,SO-#81133,1061.000,784.29,Credit Card/PayPal - Order #81133
01/27/2026,SO-#81133,3000.000,-836.85,Sales - Order #81133
01/27/2026,SO-#81133,3034.000,125.52,Discount - Order #81133
01/27/2026,SO-#81133,2110.000,-73.65,Sales Tax - Order #81133
01/27/2026,SO-#81130,1061.000,26.45,Credit Card/PayPal - Order #81130
01/27/2026,SO-#81130,3000.000,-19.95,Sales - Order #81130
01/27/2026,SO-#81130,3040.000,-6.50,Shipping - Order #81130
01/27/2026,SO-#81127,1061.000,76.53,Credit Card/PayPal - Order #81127
01/27/2026,SO-#81127,3000.000,-70.65,Sales - Order #81127
01/27/2026,SO-#81127,2110.000,-5.88,Sales Tax - Order #81127
01/27/2026,SO-#81125,1061.000,397.80,Credit Card/PayPal - Order #81125
01/27/2026,SO-#81125,3000.000,-468.00,Sales - Order #81125
01/27/2026,SO-#81125,3034.000,70.20,Discount - Order #81125
01/27/2026,SO-#81120,1061.000,53.50,Credit Card/PayPal - Order #81120
01/27/2026,SO-#81120,3000.000,-53.50,Sales - Order #81120
01/27/2026,SO-#81118,1061.000,892.50,Credit Card/PayPal - Order #81118
01/27/2026,SO-#81118,3000.000,-1050.00,Sales - Order #81118
01/27/2026,SO-#81118,3034.000,157.50,Discount - Order #81118
01/27/2026,SO-#81116,1061.000,62.18,Credit Card/PayPal - Order #81116
01/27/2026,SO-#81116,3000.000,-57.50,Sales - Order #81116
01/27/2026,SO-#81116,2110.000,-4.68,Sales Tax - Order #81116
01/27/2026,SO-#81113,1061.000,50.48,Credit Card/PayPal - Order #81113
01/27/2026,SO-#81113,3000.000,-43.98,Sales - Order #81113
01/27/2026,SO-#81113,3040.000,-6.50,Shipping - Order #81113
01/27/2026,SO-#81106,1061.000,284.37,Credit Card/PayPal - Order #81106
01/27/2026,SO-#81106,3000.000,-284.37,Sales - Order #81106
01/27/2026,SO-#81103,1061.000,32.56,Credit Card/PayPal - Order #81103
01/27/2026,SO-#81103,3000.000,-24.30,Sales - Order #81103
01/27/2026,SO-#81103,2110.000,-1.76,Sales Tax - Order #81103
01/27/2026,SO-#81103,3040.000,-6.50,Shipping - Order #81103
01/27/2026,SO-#81068,1061.000,96.80,Credit Card/PayPal - Order #81068
01/27/2026,SO-#81068,3000.000,-105.80,Sales - Order #81068
01/27/2026,SO-#81068,3034.000,9.00,Discount - Order #81068
01/27/2026,SO-#81067,1061.000,39.60,Credit Card/PayPal - Order #81067
01/27/2026,SO-#81067,3000.000,-33.10,Sales - Order #81067
01/27/2026,SO-#81067,3040.000,-6.50,Shipping - Order #81067
01/27/2026,SO-#81065,1061.000,51.20,Credit Card/PayPal - Order #81065
01/27/2026,SO-#81065,3000.000,-51.20,Sales - Order #81065
01/27/2026,SO-#81057,1061.000,9.50,Credit Card/PayPal - Order #81057
01/27/2026,SO-#81057,3000.000,-9.50,Sales - Order #81057
01/27/2026,SO-#81040,1061.000,83.40,Credit Card/PayPal - Order #81040
01/27/2026,SO-#81040,3000.000,-83.40,Sales - Order #81040
01/27/2026,SO-#81039,1061.000,63.10,Credit Card/PayPal - Order #81039
01/27/2026,SO-#81039,3000.000,-63.10,Sales - Order #81039
01/27/2026,SO-#81038,1061.000,93.50,Credit Card/PayPal - Order #81038
01/27/2026,SO-#81038,3000.000,-93.50,Sales - Order #81038
01/27/2026,SO-#81037,1061.000,165.85,Credit Card/PayPal - Order #81037
01/27/2026,SO-#81037,3000.000,-165.85,Sales - Order #81037
01/27/2026,SO-#81034,1061.000,103.10,Credit Card/PayPal - Order #81034
01/27/2026,SO-#81034,3000.000,-103.10,Sales - Order #81034
01/27/2026,SO-#81023,1061.000,97.46,Credit Card/PayPal - Order #81023
01/27/2026,SO-#81023,3000.000,-114.65,Sales - Order #81023
01/27/2026,SO-#81023,3034.000,17.19,Discount - Order #81023
01/27/2026,SO-#80972,1061.000,359.29,Credit Card/PayPal - Order #80972
01/27/2026,SO-#80972,3000.000,-335.00,Sales - Order #80972
01/27/2026,SO-#80972,2110.000,-24.29,Sales Tax - Order #80972
