Name,Tax 1: Title,Tax 1: Rate,Tax 1: Price,Tax 2: Title,Tax 2: Rate,Tax 2: Price,Tax 3: Title,Tax 3: Rate,Tax 3: Price,Tax: Total,Price: Total Shipping,Price: Total Refund,Price: Current Total,CASH,CHARGE,GIFT CARD,STORE CREDIT,Payment: Status,Order Fulfillment Status,Shipping: City,Transaction: Kind,Transaction: Processed At,,,,
#80036,,,,,,,,,,0,0,,10,,,,,paid,fulfilled,,capture,2026-01-03 13:09:14 -0800,,,,
#80045,,,,,,,,,,0,0,,140,,,,,paid,fulfilled,,capture,2026-01-03 07:59:50 -0800,,,,
#80054,California State Tax,0.06,0.95,Shasta County Tax,0.0025,0.04,Shasta Co Local Tax Sl,0.01,0.16,1.15,0,,,,,,16.95,paid,fulfilled,,sale,2026-01-03 08:02:29 -0800,,,STORE CREDIT,
#80055,,,,,,,,,,0,0,,100,,,,,paid,fulfilled,Barnegat,capture,2026-01-03 11:54:10 -0800,,,,
#80056,California State Tax,0.06,1.62,Shasta County Tax,0.0025,0.06,Shasta Co Local Tax Sl,0.01,0.27,1.95,0,,28.91,,,,,paid,fulfilled,,capture,2026-01-03 09:03:26 -0800,,,,
#80057,California State Tax,0.06,1,Shasta County Tax,0.0025,0.04,Shasta Co Local Tax Sl,0.01,0.16,1.2,0,,17.72,,,,,paid,fulfilled,,capture,2026-01-03 09:18:02 -0800,,,,
#80059,California State Tax,0.06,1.34,Shasta County Tax,0.0025,0.07,Shasta Co Local Tax Sl,0.01,0.21,1.62,0,,76.3,,,,,paid,fulfilled,,capture,2026-01-03 10:23:57 -0800,,,,
#80060,California State Tax,0.06,3.82,Shasta County Tax,0.0025,0.16,Shasta Co Local Tax Sl,0.01,0.64,4.62,0,,68.34,,,,,paid,fulfilled,,capture,2026-01-03 10:35:22 -0800,,,,
#80061,California State Tax,0.06,3.8,Shasta County Tax,0.0025,0.16,Willows City Tax,0.015,0.95,5.54,0,,68.72,,,,,paid,fulfilled,Willows,capture,2026-01-03 10:31:06 -0800,,,,
#80062,California State Tax,0.06,1.76,Shasta County Tax,0.0025,0.09,Shasta Co Local Tax Sl,0.01,0.29,2.14,0,,,31.14,,,,paid,fulfilled,,sale,2026-01-03 10:31:38 -0800,,,CASH,
#80063,California State Tax,0.06,0.21,Shasta County Tax,0.0025,0.01,Shasta Co Local Tax Sl,0.01,0.04,0.26,0,,,3.76,,,,paid,fulfilled,,sale,2026-01-03 10:36:59 -0800,,,CASH,
#80064,,,,,,,,,,0,0,,10.29,,,,,paid,fulfilled,,capture,2026-01-03 11:00:37 -0800,,,,
#80065,California State Tax,0.06,6,Shasta County Tax,0.0025,0.25,Shasta Co Local Tax Sl,0.01,1,7.25,0,,107.25,,,,,paid,fulfilled,,capture,2026-01-03 11:12:15 -0800,,,,
#80066,,,,,,,,,,0,0,,50,,,,,paid,fulfilled,,capture,2026-01-03 11:29:32 -0800,,,,
#80067,California State Tax,0.06,1.62,Shasta County Tax,0.0025,0.06,Shasta Co Local Tax Sl,0.01,0.26,1.94,0,,28.85,,,,,paid,fulfilled,,capture,2026-01-03 11:31:56 -0800,,,,
#80068,California State Tax,0.06,2.99,Shasta County Tax,0.0025,0.11,Shasta Co Local Tax Sl,0.01,0.5,3.6,0,,53.23,,,,,paid,fulfilled,,capture,2026-01-03 11:35:49 -0800,,,,
#80069,California State Tax,0.06,3.47,Shasta County Tax,0.0025,0.14,Shasta Co Local Tax Sl,0.01,0.58,4.19,0,,61.88,,,,,paid,fulfilled,,capture,2026-01-03 11:38:40 -0800,,,,
#80070,California State Tax,0.06,2.22,Shasta County Tax,0.0025,0.08,Shasta Co Local Tax Sl,0.01,0.38,2.68,0,,39.58,,,,,paid,fulfilled,,capture,2026-01-03 11:48:41 -0800,,,,
#80071,,,,,,,,,,0,0,17.5,73.9,,,,,partially_refunded,fulfilled,WOLCOTT,sale,2026-01-03 11:40:20 -0800,,,,
#80073,California State Tax,0.06,15.6,Shasta County Tax,0.0025,0.64,Shasta Co Local Tax Sl,0.01,2.6,18.84,0,,139.37,,,,,paid,fulfilled,,capture,2026-01-03 12:09:07 -0800,,,,
#80074,California State Tax,0.06,0.2,Shasta County Tax,0.0025,0.01,Shasta Co Local Tax Sl,0.01,0.03,0.24,0,,,3.49,,,,paid,fulfilled,,sale,2026-01-03 11:55:40 -0800,,,CASH,
#80075,California State Tax,0.06,1.61,Shasta County Tax,0.0025,0.07,Shasta Co Local Tax Sl,0.01,0.27,1.95,0,,28.82,,,,,paid,fulfilled,,capture,2026-01-03 12:35:59 -0800,,,,
#80076,California State Tax,0.06,1.78,Shasta County Tax,0.0025,0.07,Shasta Co Local Tax Sl,0.01,0.3,2.15,0,,31.79,,,,,paid,fulfilled,,capture,2026-01-03 12:39:04 -0800,,,,
#80078,,,,,,,,,,0,0,,10.29,,,,,paid,fulfilled,,capture,2026-01-03 13:00:21 -0800,,,,
