Name,Tags,Tax 1: Title,Tax 1: Rate,Tax 1: Price,Tax 2: Title,Tax 2: Rate,Tax 2: Price,Tax 3: Title,Tax 3: Rate,Tax 3: Price,Tax: Total,Price: Total Shipping,Price: Total Refund,Price: Total,CASH ,CHARGE,GIFT CARD,STORE CREDIT,CHECK,Payment: Status,Order Fulfillment Status,Shipping: Zip,Shipping: City,Transaction: Kind,Transaction: Processed At,Transaction: Amount,Transaction: Gateway,Transaction: Payment Method
#81435,captured-2026-01-31,California State Tax,0.06,2.02,Shasta County Tax,0.0025,0.09,Shasta Co Local Tax Sl,0.01,0.35,2.46,0,,46.45,,,,,,paid,fulfilled,,,capture,2026-01-31 08:22:12 -0800,46.45,shopify_payments,card
#81436,captured-2026-01-31,California State Tax,0.06,1.2,Shasta County Tax,0.0025,0.05,Shasta Co Local Tax Sl,0.01,0.2,1.45,0,,21.4,,,,,,paid,fulfilled,,,capture,2026-01-31 08:23:21 -0800,21.4,shopify_payments,card
#81437,captured-2026-01-31,California State Tax,0.06,4.49,Shasta County Tax,0.0025,0.18,Shasta Co Local Tax Sl,0.01,0.75,5.42,0,,90.51,,,,,,paid,fulfilled,,,capture,2026-01-31 08:27:51 -0800,90.51,shopify_payments,card
#81438,captured-2026-01-31,California State Tax,0.06,5.28,Shasta County Tax,0.0025,0.22,Shasta Co Local Tax Sl,0.01,0.89,6.39,0,,104.58,,,,,,paid,fulfilled,,,capture,2026-01-31 08:29:36 -0800,104.58,shopify_payments,card
#81440,captured-2026-01-31,California State Tax,0.06,1.98,Shasta County Tax,0.0025,0.08,Shasta Co Local Tax Sl,0.01,0.33,2.39,0,,45.67,,,,,,paid,fulfilled,,,capture,2026-01-31 08:52:22 -0800,45.67,shopify_payments,card
#81441,captured-2026-01-31,California State Tax,0.06,1.36,Shasta County Tax,0.0025,0.05,Shasta Co Local Tax Sl,0.01,0.23,1.64,0,,45.38,,,,,,paid,fulfilled,,,capture,2026-01-31 08:54:24 -0800,45.38,shopify_payments,card
#81442,captured-2026-01-31,California State Tax,0.06,3.02,Shasta County Tax,0.0025,0.14,Shasta Co Local Tax Sl,0.01,0.51,3.67,0,,54.02,,,,,,paid,fulfilled,,,capture,2026-01-31 08:55:27 -0800,54.02,shopify_payments,card
#81443,captured-2026-01-31,California State Tax,0.06,4.83,Shasta County Tax,0.0025,0.22,Shasta Co Local Tax Sl,0.01,0.81,5.86,0,,86.36,,,,,,paid,fulfilled,,,capture,2026-01-31 09:03:22 -0800,86.36,shopify_payments,card
#81444,captured-2026-01-31,California State Tax,0.06,2.51,Shasta County Tax,0.0025,0.11,Shasta Co Local Tax Sl,0.01,0.43,3.05,0,,44.87,,,,,,paid,fulfilled,,,capture,2026-01-31 09:12:49 -0800,44.87,shopify_payments,card
#81445,captured-2026-01-31,,,,,,,,,,0,0,,20.58,,,,,,paid,fulfilled,,,capture,2026-01-31 09:25:33 -0800,20.58,shopify_payments,card
