Name,Tax 1: Title,Tax 1: Rate,Tax 1: Price,Tax 2: Title,Tax 2: Rate,Tax 2: Price,Tax 3: Title,Tax 3: Rate,Tax 3: Price,Tax: Total,Price: Total Shipping,Price: Total Refund,Price: Current Total,CASH,CHARGE,GIFT CARD,STORE CREDIT,Payment: Status,Order Fulfillment Status,Shipping: City,Transaction: Kind,Transaction: Processed At
#80114,California State Tax,0.06,0.37,Shasta County Tax,0.0025,0.02,Shasta Co Local Tax Sl,0.01,0.06,0.45,0,,,,,,6.53,paid,fulfilled,,sale,2026-01-04 10:50:28 -0800
#80115,California State Tax,0.06,1.46,Shasta County Tax,0.0025,0.06,Shasta Co Local Tax Sl,0.01,0.24,1.76,0,,25.81,,,,,paid,fulfilled,,capture,2026-01-04 11:24:00 -0800
#80117,California State Tax,0.06,0.42,Shasta County Tax,0.0025,0.02,Shasta Co Local Tax Sl,0.01,0.07,0.51,0,,7.46,,,,,paid,fulfilled,,capture,2026-01-04 11:37:13 -0800
#80121,California State Tax,0.06,1.43,Shasta County Tax,0.0025,0.06,Shasta Co Local Tax Sl,0.01,0.24,1.73,0,,25.53,,,,,paid,fulfilled,,capture,2026-01-04 12:29:14 -0800
#80122,California State Tax,0.06,5.15,Shasta County Tax,0.0025,0.21,Shasta Co Local Tax Sl,0.01,0.86,6.22,0,92.12,0,,,,,refunded,fulfilled,,refund,2026-01-04 12:17:54 -0800
#80124,California State Tax,0.06,6.54,Shasta County Tax,0.0025,0.27,Shasta Co Local Tax Sl,0.01,1.09,7.9,0,,116.9,,,,,paid,fulfilled,,capture,2026-01-04 13:05:52 -0800
#80125,California State Tax,0.06,8.36,Shasta County Tax,0.0025,0.36,Shasta Co Local Tax Sl,0.01,1.37,10.09,0,,149.42,,,,,paid,fulfilled,,capture,2026-01-04 13:09:50 -0800
#80126,California State Tax,0.06,3.45,Shasta County Tax,0.0025,0.15,Shasta Co Local Tax Sl,0.01,0.59,4.19,0,,61.53,,,,,paid,fulfilled,,capture,2026-01-04 13:14:08 -0800
#80127,California State Tax,0.06,0.12,Shasta County Tax,0.0025,0.01,Shasta Co Local Tax Sl,0.01,0.02,0.15,0,,59.95,,,,6.77,paid,fulfilled,,sale,2026-01-04 13:04:58 -0800
#80128,California State Tax,0.06,7.07,Shasta County Tax,0.0025,0.3,Shasta Co Local Tax Sl,0.01,1.19,8.56,0,,126.18,,,,,paid,fulfilled,,capture,2026-01-04 14:17:15 -0800
#80130,California State Tax,0.06,2.09,Shasta County Tax,0.0025,0.09,Shasta Co Local Tax Sl,0.01,0.35,2.53,0,,,37.45,,,,paid,fulfilled,,sale,2026-01-04 14:39:50 -0800
#80131,California State Tax,0.06,2.56,Shasta County Tax,0.0025,0.11,Shasta Co Local Tax Sl,0.01,0.42,3.09,0,,45.49,,,,,paid,fulfilled,,capture,2026-01-04 14:55:20 -0800
#80132,California State Tax,0.06,0.32,Shasta County Tax,0.0025,0.01,Shasta Co Local Tax Sl,0.01,0.05,0.38,0,,1.89,,,,3.85,paid,fulfilled,,sale,2026-01-04 15:04:42 -0800
#80133,California State Tax,0.06,1.61,Shasta County Tax,0.0025,0.07,Shasta Co Local Tax Sl,0.01,0.27,1.95,0,,28.54,,,,,paid,fulfilled,,capture,2026-01-04 15:51:07 -0800
#80134,California State Tax,0.06,12.7,Shasta County Tax,0.0025,0.55,Shasta Co Local Tax Sl,0.01,2.12,15.37,0,,,227.09,,,,paid,fulfilled,,sale,2026-01-04 15:51:12 -0800
#80135,California State Tax,0.06,3.49,Shasta County Tax,0.0025,0.15,Shasta Co Local Tax Sl,0.01,0.58,4.22,0,,62.15,,,,,paid,fulfilled,,capture,2026-01-04 17:20:18 -0800
#80108,,,,,,,,,,0,0,,377.83,,,,,paid,partial,BEND,sale,2026-01-04 08:00:37 -0800
#80112,,,,,,,,,,0,0,,8.25,,,,,paid,fulfilled,,sale,2026-01-04 10:01:11 -0800
#80120,,,,,,,,,,0,0,,52.98,,,,,paid,fulfilled,,capture,2026-01-04 12:15:30 -0800
#80123,,,,,,,,,,0,0,,,,46.78,,,paid,fulfilled,,sale,2026-01-04 12:20:49 -0800
#80137,California State Tax,0.06,0.09,Shasta Co Local Tax Sl,0.01,0.02,,,,0.11,0,,1.69,,,,,paid,fulfilled,,capture,2026-01-04 18:06:29 -0800
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,69.21000000000001,0,92.12,1151.6,264.54,46.78,,17.150000000000002,,,,,
