Name,Tax 1: Title,Tax 1: Rate,Tax 1: Price,Tax 2: Title,Tax 2: Rate,Tax 2: Price,Tax 3: Title,Tax 3: Rate,Tax 3: Price,Tax: Total,Price: Total Shipping,Price: Total Refund,Price: Current Total,CASH,CHARGE,GIFT CARD,STORE CREDIT,CHECK,Payment: Status,Order Fulfillment Status,Shipping: City,Transaction: Kind,Transaction: Processed At,,,
#80141,,,,,,,,,,0,6.5,,,,,,,20.93,paid,fulfilled,LA FONTAINE,sale,2026-01-05 08:47:15 -0800,,,
#80142,California State Tax,0.06,3.69,Shasta County Tax,0.0025,0.15,Shasta Co Local Tax Sl,0.01,0.62,4.46,0,,98.21,,,,,,paid,fulfilled,,capture,2026-01-05 10:09:35 -0800,,,
#80143,California State Tax,0.06,2.75,Shasta County Tax,0.0025,0.11,Shasta Co Local Tax Sl,0.01,0.47,3.33,0,,49.18,,,,,,paid,fulfilled,,capture,2026-01-05 10:12:03 -0800,,,
#80144,California State Tax,0.06,4.39,Shasta County Tax,0.0025,0.18,Shasta Co Local Tax Sl,0.01,0.74,5.31,0,,78.46,,,,,,paid,fulfilled,,capture,2026-01-05 10:15:53 -0800,,,
#80147,California State Tax,0.06,1.16,Shasta County Tax,0.0025,0.05,Shasta Co Local Tax Sl,0.01,0.2,1.41,0,,,20.56,,,,,paid,fulfilled,,sale,2026-01-05 10:26:38 -0800,,,
#80146,,,,,,,,,,0,0,,4.91,,,,,,paid,fulfilled,,capture,2026-01-05 10:31:14 -0800,,,
#80148,California State Tax,0.06,2.3,Shasta County Tax,0.0025,0.11,Shasta Co Local Tax Sl,0.01,0.37,2.78,0,,40.99,,,,,,paid,fulfilled,,capture,2026-01-05 10:43:27 -0800,,,
#80150,California State Tax,0.06,5.6,Shasta County Tax,0.0025,0.23,Shasta Co Local Tax Sl,0.01,0.91,6.74,0,,99.91,,,,,,paid,fulfilled,,capture,2026-01-05 11:11:10 -0800,,,
#80151,California State Tax,0.06,8.64,Shasta County Tax,0.0025,0.36,Shasta Co Local Tax Sl,0.01,1.44,10.44,0,,154.24,,,,,,paid,fulfilled,,capture,2026-01-05 12:09:13 -0800,,,
#80152,,,,,,,,,,0,0,,100,,,,,,paid,fulfilled,,capture,2026-01-05 12:09:15 -0800,,,
#80153,California State Tax,0.06,31.44,Shasta County Tax,0.0025,1.31,Shasta Co Local Tax Sl,0.01,5.24,37.99,0,,561.94,,,,,,partially_refunded,fulfilled,,capture,2026-01-05 12:26:02 -0800,,,Payout total 561.94
#80154,California State Tax,0.06,8.42,Shasta County Tax,0.0025,0.37,Shasta Co Local Tax Sl,0.01,1.4,10.19,0,,150.37,,,,,,paid,fulfilled,,capture,2026-01-05 13:04:40 -0800,,,
#80155,California State Tax,0.06,2.75,Shasta County Tax,0.0025,0.12,Shasta Co Local Tax Sl,0.01,0.46,3.33,0,,49.08,,,,,,paid,fulfilled,,capture,2026-01-05 13:23:27 -0800,,,
#80157,California State Tax,0.06,0.54,Shasta County Tax,0.0025,0.02,Shasta Co Local Tax Sl,0.01,0.09,0.65,0,,9.89,10,,,,,paid,fulfilled,,sale,2026-01-05 13:43:17 -0800,,,
#80158,,,,,,,,,,0,0,3.25,121.93,,,,,,partially_refunded,partial,HOMER CITY,sale,2026-01-05 13:44:41 -0800,,,
#80156,,,,,,,,,,0,0,,74.83,,,,,,paid,fulfilled,,capture,2026-01-05 13:51:00 -0800,,,
#80160,California State Tax,0.06,3.72,Shasta County Tax,0.0025,0.19,Shasta Co Local Tax Sl,0.01,0.62,4.53,0,,66.33,,,,,,paid,fulfilled,MIDDLETOWN,sale,2026-01-05 14:06:31 -0800,,,
#80161,California State Tax,0.06,3,Shasta County Tax,0.0025,0.12,Shasta Co Local Tax Sl,0.01,0.5,3.62,0,,128.45,,,,,,paid,fulfilled,,capture,2026-01-05 14:22:04 -0800,,,
#80162,California State Tax,0.06,0.66,Shasta County Tax,0.0025,0.03,Shasta Co Local Tax Sl,0.01,0.12,0.81,0,,11.81,,,,,,paid,fulfilled,,capture,2026-01-05 14:23:05 -0800,,,
#80163,California State Tax,0.06,27.57,Shasta County Tax,0.0025,1.13,Shasta Co Local Tax Sl,0.01,4.6,33.3,0,,492.64,,,,,,paid,fulfilled,,capture,2026-01-05 14:32:45 -0800,,,
#80047,,,,,,,,,,0,6.5,,45.7,,,,,,paid,partial,Rolla,capture,2026-01-05 14:49:59 -0800,,,REMAINING 99.95 PAID 1/15
#80039,,,,,,,,,,0,0,,99.95,,,,,,paid,fulfilled,Mt Pleasant,capture,2026-01-05 14:54:40 -0800,,,
